RowName,TriggerId,Text,Audience,Weight,RepeatCooldown_s
S26a,Team.Mate.Down,Teammate down.,Team,1.0,20
S26b,Team.Mate.Down,Ally down.,Team,1.0,20
S26c,Team.Mate.Down,You lost a teammate.,Team,1.0,20
S27a,Team.Mate.Avenged,Avenged.,Team,1.0,20
S27b,Team.Mate.Avenged,Payback.,Team,1.0,20
S27c,Team.Mate.Avenged,Answered for it.,Team,1.0,20
S28a,Team.LastAlive,Alone out there.,Team,1.0,20
S28b,Team.LastAlive,You're all that's left.,Team,1.0,20
S29a,Team.Wipe.Enemy,Team wiped.,Team,1.0,20
S29b,Team.Wipe.Enemy,Full wipe.,Team,1.0,20
S29c,Team.Wipe.Enemy,Enemy team wiped.,Team,1.0,20
S30a,Team.Regroup,Regroup.,Team,1.0,20
S30b,Team.Regroup,"Team, regroup.",Team,1.0,20
S30c,Team.Regroup,Fall back together.,Team,1.0,20
S31a,Rocket.PickedUp.Team,Rocket up.,Team,1.0,20
S31b,Rocket.PickedUp.Team,Rocket picked up.,Team,1.0,20
S31c,Rocket.PickedUp.Team,Team has the Rocket.,Team,1.0,20
S32a,Team.Mate.Down,Ally lost.,Team,1.0,20
S33a,Team.Wipe.Enemy,Team wipe.,Team,1.0,20
